Food commodity ITEM,Product contains,Sector contains,Product not contains,Carbon Footprint kg CO2eq/kg or l of food ITEM
AVOCADO (I),,,,1.09
BANANA (I),,,,0.82
COCONUT (I),coconut,,,1.78
EXOTIC FRUIT (I),,,,2.43
PINEAPPLE (I),,,,0.55
POMEGRANATE (I),,,,1.17
STRAWBERRY (I),,,,0.84
MELON (g)*,,,,1.43
CLEMENTINE,clementines,,,0.41
LEMON,lemons,,juice,0.22
LIME,limes,,juice,0.22
MANDARIN,,,,0.45
ORANGE,oranges,,juice,0.3
POMELO,,,,0.51
TANGERIN,tangerines,,,0.38
APPLE,apples,,juice,0.25
APRICOT,apricots,,juice,0.3
AVOCADO,avocados,,,0.54
BANANA,bananas,,,0.34
CARROB,,,,1.1
CHERRY,cherries,,,0.46
FIG,figs,,,0.26
GRAPES,grapes,,juice,0.31
GUAVA,guava,,juice,0.28
KIWI,kiwi,,juice,0.49
MANGO,mango,,juice,0.31
MELON,melon,,water,0.61
PEACH,peach,,juice,0.39
PEAR,pears,,juice,0.27
PINEAPPLE,pineapple,fruit,juice,0.28
PLUM,plums,,juice,0.26
POMEGRANATE,pomegranate,,juice,0.32
ROCKMELON,,,,0.39
WATERMELON,watermelon,,juice,0.52
OLIVES,olives,,,0.64
BLACKBERRY,blackberries,,juice,0.42
BLUEBERRY,blueberries,,juice,0.78
CRANBERRY,cranberries,,juice,0.87
CURRANT,currants,,,0.64
GOOSEBERRY,,,,0.84
RASPBERRY,raspberries,,juice,0.63
STRAWBERRY,strawberries,,juice,0.61
BARLEY,,,,0.48
MAIZE,,,,0.48
MILLET,,,,0.86
OAT,,,,0.67
QUINOA,,,,0.97
RYE,,,,0.38
SORGHUM,,,,0.88
WHEAT,,,,0.57
BEAN,,,,0.43
CHICKPEA,chickpea,,,0.77
COWPEA,,,,0.49
GREEN BEAN (fresh),,,,0.52
LENTIL,lentil,,,1.03
PEA,pea,,frozen,0.45
SOYBEAN,,,,0.56
GREEN BEAN (fresh) (g)*,,,,0.28
MUSHROOM*,mushroom,,,2.06
ALMOND,almond,,milk,1.88
CASHEW NUT,cashew,,,1.38
CHESTNUT,chestnut,,,0.44
HAZELNUT,hazelnut,,,1.11
MIXED NUTS,,,,0.47
PALM NUT,palm nut,,,0.8
PEANUT,peanut,,oil,0.83
PISTACHIO,pistachio,,,1.6
WALNUT,walnut,,,2.06
RICE*,rice,,,2.19
RAPE SEED,,,,0.78
SESAM SEED,,,,0.88
SUNFLOWER SEED,,,,1.16
CHILLY,,,,0.8
GINGER,ginger,,,0.88
POTATO,potato,,sweet,0.24
STARCHY ROOTS,,,,0.29
SWEET POTATO,sweet potato,,,0.27
CUCUMBER (G),,,,2.55
GERKIN (G),,,,2.12
LETTUCE (G),,,,2.67
PEPPER (G),,,,3.73
TOMATO (G),,,,2.43
CUCUMBER (g),,,,0.32
EGGPLANT (g),,,,2.9
PEPPER (g),,,,1.18
TOMATO (g),,,,0.91
ZUCCHINI (g),,,,1.77
ASPARAGUS,asparagus,,,0.83
CABAGGE,cabbage,,,0.23
LETTUCE,lettuce,,,0.41
