uuid,name,path,link,num_products,date_updated,products_scraped,required,emissions_condition,emissions_default,temp_controlled
76ebf1d5-27d6-469d-9cb5-ef0832ea3bc4,Bath,"Toiletries & health>Soap, shower & bath>Bath",https://www.sainsburys.co.uk/shop/gb/groceries/health-beauty/bath,0,19/08/2021,0,1,,,
9d76048f-3971-407d-aba8-59f88053bcd6,Bran,Food cupboard>Cereals>Everyday cereals>Bran,https://www.sainsburys.co.uk/shop/gb/groceries/food-cupboard/bran-cereals,0,19/08/2021,0,1,,2.64,0
828cd9b5-61f8-4a41-916a-a2d8d57811b6,Burns,Toiletries & health>Medicines & healthcare>First aid>Burns,https://www.sainsburys.co.uk/shop/gb/groceries/health-beauty/burns,0,19/08/2021,0,1,,,
44821e19-9ac6-46d8-a6d8-87bcf2c7b407,All pain relief,Toiletries & health>Medicines & healthcare>Pain relief>All pain relief,https://www.sainsburys.co.uk/shop/gb/groceries/health-beauty/all-pain-relief,0,19/08/2021,0,1,,,
9b38537d-870c-4080-96af-c67dd8c6a4f5,Tablet & capsule,Toiletries & health>Medicines & healthcare>Pain relief>Tablet & capsule,https://www.sainsburys.co.uk/shop/gb/groceries/health-beauty/tablet---capsule,0,19/08/2021,0,1,,,
6e258f48-a3a9-4ce4-a3e6-d12bc0c5d62e,Soluble,Toiletries & health>Medicines & healthcare>Pain relief>Soluble,https://www.sainsburys.co.uk/shop/gb/groceries/health-beauty/soluble,0,19/08/2021,0,1,,,
da8b672f-75a1-402b-84a3-3528f7cd4c2f,Muscle and joint pain,Toiletries & health>Medicines & healthcare>Pain relief>Muscle and joint pain,https://www.sainsburys.co.uk/shop/gb/groceries/health-beauty/muscle-and-joint-pain,0,19/08/2021,0,1,,,
2886b07a-08b8-45e4-a967-f0bf8d4ef565,Children's fever & pain relief,Toiletries & health>Medicines & healthcare>Pain relief>Children's fever & pain relief,https://www.sainsburys.co.uk/shop/gb/groceries/health-beauty/childrens-fever---pain-relief,0,19/08/2021,0,1,,,
c3664e57-2042-46d1-86f1-f8a837d31786,"Voltarol, Panadol & Anadin","Toiletries & health>Medicines & healthcare>Pain relief>Voltarol, Panadol & Anadin",https://www.sainsburys.co.uk/shop/gb/groceries/health-beauty/voltarol-panadol-anadin,0,19/08/2021,0,1,,,
f7bd1554-3cd5-42ed-96b9-1c30c429a176,"Dog food cans, trays & pouches","Pet>Dog & Puppy>Senior dog (7 years & up)>Dog food cans, trays & pouches",https://www.sainsburys.co.uk/shop/gb/groceries/pet/dog-food-cans-trays-pouches,0,19/08/2021,0,1,,,0
1924011d-5a49-4131-9caa-16db89303ac4,Advanced nutrition dog food,Pet>Dog & Puppy>Senior dog (7 years & up)>Advanced nutrition dog food,https://www.sainsburys.co.uk/shop/gb/groceries/pet/advance-nutrition-dog-food--,0,19/08/2021,0,1,,,0
2d4fa629-0db3-42a7-b259-87fe98022681,Natural dog food,Pet>Dog & Puppy>Senior dog (7 years & up)>Natural dog food,https://www.sainsburys.co.uk/shop/gb/groceries/pet/natural-dog-food--,0,19/08/2021,0,1,,,0
fa8b65e8-8a95-4a81-8408-192e61de6658,Dog accessories,Pet>Dog & Puppy>Dog care & accessories>Dog accessories,https://www.sainsburys.co.uk/shop/gb/groceries/pet/dog-accessories,0,19/08/2021,0,1,,,0
9bee3bcb-ce8f-4c0b-afeb-6d11bd82a3d9,Dog toys,Pet>Dog & Puppy>Dog care & accessories>Dog toys,https://www.sainsburys.co.uk/shop/gb/groceries/pet/dog-toys,0,19/08/2021,0,1,,,0
ad8f61ec-491a-4dc0-8f0b-dfeb96deb000,Dog health & well being,Pet>Dog & Puppy>Dog care & accessories>Dog health & well being,https://www.sainsburys.co.uk/shop/gb/groceries/pet/dog-health-well-being,0,19/08/2021,0,1,,,0
c51e0da2-886b-42b7-b40c-c1dcd21dc667,Dog grooming,Pet>Dog & Puppy>Dog care & accessories>Dog grooming,https://www.sainsburys.co.uk/shop/gb/groceries/pet/dog-grooming,0,19/08/2021,0,1,,,0
